Front,Back
"Cos'è l'Intelligenza Artificiale (IA)?
A) La disciplina che studia come creare sistemi capaci di osservare, comprendere e riprodurre comportamenti intelligenti
B) Un insieme di programmi che calcolano velocemente
C) Un qualsiasi sistema che usa reti neurali
D) Un robot umanoide",A
"Che cos'è un agente nel contesto dell'IA?
A) Un semplice sensore passivo
B) Un'entità autonoma che percepisce l'ambiente tramite sensori e agisce su di esso tramite attuatori
C) Un algoritmo di ordinamento
D) Un attuatore fisico senza sensori",B
"Cosa distingue l'IA forte dall'IA debole?
A) L'IA forte mira a riprodurre il ragionamento umano, l'IA debole a risolvere problemi specifici
B) L'IA forte usa reti neurali, la debole no
C) L'IA debole è più recente della forte
D) L'IA forte è solo simbolica, la debole solo statistica",A
"Qual è l'idea alla base del Test di Turing?
A) Una macchina è intelligente se batte un umano a scacchi
B) Una macchina è intelligente se può imparare da sola
C) Una macchina è intelligente se un osservatore umano non distingue se sta parlando con una persona o con una macchina
D) Una macchina è intelligente se riconosce immagini",C
"Cosa rappresenta il 'prompt' in un modello linguistico?
A) Solo la domanda finale
B) La combinazione di premessa, domanda e contesto
C) Solo il contesto informativo
D) Solo le istruzioni del programmatore",B
"Cos'è l'Instruction Tuning?
A) Una tecnica per velocizzare il training
B) Una tecnica per far seguire al modello istruzioni testuali in modo coerente
C) Una tecnica di compressione dei modelli
D) Una forma di apprendimento non supervisionato",B
"Qual è l'ordine corretto nel ciclo dell'agente?
A) Agire → Percepire → Decidere → Aggiornare
B) Percepire → Decidere → Agire → Aggiornare
C) Decidere → Percepire → Aggiornare → Agire
D) Aggiornare → Agire → Percepire → Decidere",B
"Che cos'è la sequenza percettiva di un agente?
A) La sequenza delle azioni compiute
B) L'insieme delle azioni future possibili
C) L'insieme di tutte le percezioni passate ricevute dall'agente
D) La sequenza di stati interni dell'agente",C
"Come è definita la funzione agente in forma matematica?
A) f: A → P
B) f: P* → A
C) f: S → S
D) f: A → A*",B
"Che differenza c'è tra funzione agente e programma agente?
A) Nessuna, sono la stessa cosa
B) La funzione agente è astratta, il programma agente è la sua implementazione concreta
C) La funzione agente è nel software, il programma agente nell'hardware
D) Il programma agente è astratto, la funzione agente è concreta",B
"In che senso un agente è autonomo?
A) Se può spegnersi da solo
B) Se il suo comportamento dipende dalla sua esperienza e dalle percezioni passate
C) Se non ha bisogno di sensori
D) Se non ha bisogno di attuatori",B
"Che cos'è un agente razionale?
A) Un agente che imita il comportamento umano
B) Un agente che sceglie l'azione che massimizza il valore atteso della misura di prestazione
C) Un agente che non commette mai errori
D) Un agente che conosce lo stato completo del mondo",B
"Quale affermazione è corretta sulla razionalità?
A) Razionalità implica onniscienza
B) Razionalità non implica onniscienza
C) Un agente razionale conosce sempre il futuro
D) Un agente razionale non ha bisogno di sensori",B
"Quale tra i seguenti NON è uno dei quattro fattori della razionalità?
A) Misura di prestazione
B) Conoscenza pregressa
C) Percezioni presenti e passate
D) Numero di processori disponibili",D
"La misura di prestazione deve valutare principalmente:
A) I processi interni dell'agente
B) Gli effetti delle azioni sull'ambiente
C) Il tempo di esecuzione del programma
D) La quantità di memoria usata",B
"Nel framework PEAS, cosa indica la lettera P?
A) Problema
B) Performance (Prestazione)
C) Percezione
D) Planning",B
"Nel framework PEAS, cosa rappresentano gli 'Actuators'?
A) I dispositivi che percepiscono l'ambiente
B) Le azioni possibili a livello logico
C) I mezzi fisici con cui l'agente agisce sull'ambiente
D) I modelli interni del mondo",C
"Un ambiente completamente osservabile è quello in cui:
A) Non esistono altri agenti
B) L'agente vede tutto ciò che è rilevante per decidere
C) L'agente vede l'intero universo fisico
D) I sensori sono sempre perfetti e continui",B
"Un ambiente stocastico è:
A) Un ambiente in cui il tempo non conta
B) Un ambiente con più agenti
C) Un ambiente in cui le azioni hanno esiti associati a probabilità
D) Un ambiente in cui l'agente non ha sensori",C
"Un ambiente episodico è caratterizzato da:
A) Azioni che influenzano tutte le decisioni future
B) Episodi indipendenti, in cui ogni decisione non dipende dal passato
C) Presenza di altri agenti
D) Stati continui",B
"Un ambiente statico è:
A) Un ambiente che non cambia mentre l'agente decide
B) Un ambiente che non cambia mai
C) Un ambiente a stati discreti
D) Un ambiente senza altri agenti",A
"In un ambiente noto (known):
A) L'agente non conosce le regole del gioco
B) Il progettista conosce il modello di transizione
C) Le transizioni sono sempre stocastiche
D) Non si può fare pianificazione offline",B
"Gli agenti basati su tabella:
A) Sono molto scalabili
B) Associano ogni possibile sequenza percettiva a un'azione in una tabella
C) Non hanno bisogno di sensori
D) Sono sempre ottimali",B
"Gli agenti basati su modello mantengono:
A) Solo una tabella di azioni
B) Uno stato interno che rappresenta 'cosa credono stia succedendo'
C) Solo la sequenza percettiva completa
D) Solo la misura di prestazione",B
"Gli agenti basati su obiettivo:
A) Non hanno modello del mondo
B) Hanno un goal che guida la scelta delle azioni
C) Non possono pianificare
D) Non possono fallire",B
"Gli agenti basati su utilità:
A) Non usano funzione di utilità
B) Usano una funzione che assegna un valore numerico agli stati
C) Sono equivalenti agli agenti reattivi semplici
D) Non possono operare in ambienti stocastici",B
"In un agente con apprendimento, il 'critic':
A) Genera nuove azioni esplorative
B) Valuta le prestazioni dell'agente e fornisce feedback
C) Memorizza la sequenza percettiva
D) Implementa direttamente gli attuatori",B
"Nel modello di agente con apprendimento, il 'learning element':
A) Genera percezioni
B) Migliora il performance element usando il feedback del critic
C) Misura il tempo di esecuzione
D) Aggiorna i sensori",B
"Una rappresentazione atomica degli stati:
A) Considera solo variabili continue
B) Rappresenta lo stato come un blocco indivisibile, senza struttura interna esplicita
C) Usa grafi con relazioni tra oggetti
D) È adatta solo al machine learning",B
"La rappresentazione fattorizzata descrive uno stato tramite:
A) Un solo identificatore
B) Un vettore di variabili o fattori
C) Una formula logica unica
D) Un albero AND-OR",B
"La rappresentazione strutturata permette di modellare:
A) Solo stati finiti
B) Oggetti e relazioni tra di essi
C) Solo transizioni deterministiche
D) Solo costi uniformi",B
"Quale dei seguenti NON è un componente formale di un problema di ricerca?
A) Stato iniziale
B) Insieme di azioni
C) Misura di prestazione dell'agente
D) Funzione di costo delle azioni",C
"La funzione Risultato(s,a) in un problema di ricerca indica:
A) Il costo di eseguire a in s
B) Lo stato successivo ottenuto eseguendo a in s
C) Il numero di successori di s
D) La profondità massima",B
"Nel mondo dell'aspirapolvere, lo stato include:
A) Solo la posizione dell'agente
B) Posizione dell'agente e configurazione di sporco
C) Solo la quantità totale di sporco
D) Solo il tempo trascorso",B
"Nel puzzle dell'otto, lo spazio degli stati è:
A) Piccolo e senza cicli
B) Ampio e con possibili cicli
C) Limitato a 8 stati
D) Continuo",B
"Nel problema delle otto regine, una formulazione più efficiente è:
A) Porre regine a caso sulla scacchiera
B) Aggiungere una regina per colonna, rispettando i vincoli
C) Usare solo una regina per riga
D) Evitare qualsiasi vincolo durante la ricerca",B
"Cos'è la 'frontiera' in un algoritmo di ricerca?
A) L'insieme dei nodi già espansi
B) L'insieme dei nodi generati ma non ancora espansi
C) L'insieme dei nodi foglia dell'albero reale
D) L'insieme degli stati obiettivo",B
"Quale delle seguenti NON è una misura di prestazione per un algoritmo di ricerca?
A) Completezza
B) Ottimalità
C) Tempo
D) Numero di sensori",D
"La differenza principale tra spazio degli stati e albero di ricerca è che:
A) Lo spazio degli stati contiene solo stati obiettivo
B) L'albero di ricerca rappresenta i cammini esplorati dall'agente
C) Lo spazio degli stati è sempre finito
D) L'albero di ricerca non può avere cicli",B
"La ricerca in ampiezza (BFS) usa una frontiera implementata come:
A) Pila (LIFO)
B) Coda (FIFO)
C) Coda con priorità
D) Lista non ordinata",B
